is_sarcastic,headline,article_link,pos_tags,syntax_tree,ratio_func_words,ratio_unique_pos,length,pos_repetitions,ratio_noun,ratio_verb,ratio_adj,ratio_adv,ratio_pron,ratio_propn,syntactic_depth,branching_factor,reversed_probability,average_surprisingness
0,new telescope uncovers star older than the universe,https://chatgpt.com/,"[{'text': 'new', 'pos': 'ADJ', 'dep': 'amod', 'head': 'telescope'}, {'text': 'telescope', 'pos': 'NOUN', 'dep': 'compound', 'head': 'uncovers'}, {'text': 'uncovers', 'pos': 'NOUN', 'dep': 'nsubj', 'head': 'star'}, {'text': 'star', 'pos': 'VERB', 'dep': 'ROOT', 'head': 'star'}, {'text': 'older', 'pos': 'ADJ', 'dep': 'acomp', 'head': 'star'}, {'text': 'than', 'pos': 'ADP', 'dep': 'prep', 'head': 'older'}, {'text': 'the', 'pos': 'DET', 'dep': 'det', 'head': 'universe'}, {'text': 'universe', 'pos': 'NOUN', 'dep': 'pobj', 'head': 'than'}]","[{'text': 'new', 'dep': 'amod', 'children': []}, {'text': 'telescope', 'dep': 'compound', 'children': ['new']}, {'text': 'uncovers', 'dep': 'nsubj', 'children': ['telescope']}, {'text': 'star', 'dep': 'ROOT', 'children': ['uncovers', 'older']}, {'text': 'older', 'dep': 'acomp', 'children': ['than']}, {'text': 'than', 'dep': 'prep', 'children': ['universe']}, {'text': 'the', 'dep': 'det', 'children': []}, {'text': 'universe', 'dep': 'pobj', 'children': ['the']}]",0.25,0.625,8,1,0.375,0.125,0.25,0.0,0.0,0.0,5,1.1666666666666667,0.03092372417449951,0.7650404535616467
0,"the secret to making the perfect cup of coffee, according to experts",https://chatgpt.com/,"[{'text': 'the', 'pos': 'DET', 'dep': 'det', 'head': 'secret'}, {'text': 'secret', 'pos': 'NOUN', 'dep': 'ROOT', 'head': 'secret'}, {'text': 'to', 'pos': 'ADP', 'dep': 'prep', 'head': 'secret'}, {'text': 'making', 'pos': 'VERB', 'dep': 'pcomp', 'head': 'to'}, {'text': 'the', 'pos': 'DET', 'dep': 'det', 'head': 'cup'}, {'text': 'perfect', 'pos': 'ADJ', 'dep': 'amod', 'head': 'cup'}, {'text': 'cup', 'pos': 'NOUN', 'dep': 'dobj', 'head': 'making'}, {'text': 'of', 'pos': 'ADP', 'dep': 'prep', 'head': 'cup'}, {'text': 'coffee', 'pos': 'NOUN', 'dep': 'pobj', 'head': 'of'}, {'text': ',', 'pos': 'PUNCT', 'dep': 'punct', 'head': 'secret'}, {'text': 'according', 'pos': 'VERB', 'dep': 'prep', 'head': 'secret'}, {'text': 'to', 'pos': 'ADP', 'dep': 'prep', 'head': 'according'}, {'text': 'experts', 'pos': 'NOUN', 'dep': 'pobj', 'head': 'to'}]","[{'text': 'the', 'dep': 'det', 'children': []}, {'text': 'secret', 'dep': 'ROOT', 'children': ['the', 'to', ',', 'according']}, {'text': 'to', 'dep': 'prep', 'children': ['making']}, {'text': 'making', 'dep': 'pcomp', 'children': ['cup']}, {'text': 'the', 'dep': 'det', 'children': []}, {'text': 'perfect', 'dep': 'amod', 'children': []}, {'text': 'cup', 'dep': 'dobj', 'children': ['the', 'perfect', 'of']}, {'text': 'of', 'dep': 'prep', 'children': ['coffee']}, {'text': 'coffee', 'dep': 'pobj', 'children': []}, {'text': ',', 'dep': 'punct', 'children': []}, {'text': 'according', 'dep': 'prep', 'children': ['to']}, {'text': 'to', 'dep': 'prep', 'children': ['experts']}, {'text': 'experts', 'dep': 'pobj', 'children': []}]",0.46153846153846156,0.46153846153846156,13,0,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,6,1.7142857142857142,0.004846811294555664,0.8443208898137197
1,"cat stuck in tree refuses help, chooses to complain instead",https://chatgpt.com/,"[{'text': 'cat', 'pos': 'NOUN', 'dep': 'nsubj', 'head': 'refuses'}, {'text': 'stuck', 'pos': 'VERB', 'dep': 'acl', 'head': 'cat'}, {'text': 'in', 'pos': 'ADP', 'dep': 'prep', 'head': 'stuck'}, {'text': 'tree', 'pos': 'NOUN', 'dep': 'pobj', 'head': 'in'}, {'text': 'refuses', 'pos': 'VERB', 'dep': 'ccomp', 'head': 'chooses'}, {'text': 'help', 'pos': 'NOUN', 'dep': 'dobj', 'head': 'refuses'}, {'text': ',', 'pos': 'PUNCT', 'dep': 'punct', 'head': 'chooses'}, {'text': 'chooses', 'pos': 'VERB', 'dep': 'ROOT', 'head': 'chooses'}, {'text': 'to', 'pos': 'PART', 'dep': 'aux', 'head': 'complain'}, {'text': 'complain', 'pos': 'VERB', 'dep': 'xcomp', 'head': 'chooses'}, {'text': 'instead', 'pos': 'ADV', 'dep': 'advmod', 'head': 'complain'}]","[{'text': 'cat', 'dep': 'nsubj', 'children': ['stuck']}, {'text': 'stuck', 'dep': 'acl', 'children': ['in']}, {'text': 'in', 'dep': 'prep', 'children': ['tree']}, {'text': 'tree', 'dep': 'pobj', 'children': []}, {'text': 'refuses', 'dep': 'ccomp', 'children': ['cat', 'help']}, {'text': 'help', 'dep': 'dobj', 'children': []}, {'text': ',', 'dep': 'punct', 'children': []}, {'text': 'chooses', 'dep': 'ROOT', 'children': ['refuses', ',', 'complain']}, {'text': 'to', 'dep': 'aux', 'children': []}, {'text': 'complain', 'dep': 'xcomp', 'children': ['to', 'instead']}, {'text': 'instead', 'dep': 'advmod', 'children': []}]",0.2727272727272727,0.5454545454545454,11,0,0.2727272727272727,0.36363636363636365,0.0,0.09090909090909091,0.0,0.0,6,1.6666666666666667,0.38706785440444946,0.8898437609774816
0,the art heist that fooled everyone—until now,https://chatgpt.com/,"[{'text': 'the', 'pos': 'DET', 'dep': 'det', 'head': 'heist'}, {'text': 'art', 'pos': 'NOUN', 'dep': 'compound', 'head': 'heist'}, {'text': 'heist', 'pos': 'NOUN', 'dep': 'ROOT', 'head': 'heist'}, {'text': 'that', 'pos': 'PRON', 'dep': 'nsubj', 'head': 'fooled'}, {'text': 'fooled', 'pos': 'VERB', 'dep': 'relcl', 'head': 'heist'}, {'text': 'everyone', 'pos': 'PRON', 'dep': 'dobj', 'head': 'fooled'}, {'text': '—', 'pos': 'PUNCT', 'dep': 'punct', 'head': 'heist'}, {'text': 'until', 'pos': 'ADP', 'dep': 'prep', 'head': 'heist'}, {'text': 'now', 'pos': 'ADV', 'dep': 'pcomp', 'head': 'until'}]","[{'text': 'the', 'dep': 'det', 'children': []}, {'text': 'art', 'dep': 'compound', 'children': []}, {'text': 'heist', 'dep': 'ROOT', 'children': ['the', 'art', 'fooled', '—', 'until']}, {'text': 'that', 'dep': 'nsubj', 'children': []}, {'text': 'fooled', 'dep': 'relcl', 'children': ['that', 'everyone']}, {'text': 'everyone', 'dep': 'dobj', 'children': []}, {'text': '—', 'dep': 'punct', 'children': []}, {'text': 'until', 'dep': 'prep', 'children': ['now']}, {'text': 'now', 'dep': 'pcomp', 'children': []}]",0.3333333333333333,0.7777777777777778,9,1,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.0,3,2.6666666666666665,0.9396882057189941,0.9861456664625116
1,airport installs faster security line; chaos increases efficiency by 0%,https://chatgpt.com/,"[{'text': 'airport', 'pos': 'NOUN', 'dep': 'nsubj', 'head': 'installs'}, {'text': 'installs', 'pos': 'VERB', 'dep': 'ccomp', 'head': 'increases'}, {'text': 'faster', 'pos': 'ADJ', 'dep': 'amod', 'head': 'line'}, {'text': 'security', 'pos': 'NOUN', 'dep': 'compound', 'head': 'line'}, {'text': 'line', 'pos': 'NOUN', 'dep': 'dobj', 'head': 'installs'}, {'text': ';', 'pos': 'PUNCT', 'dep': 'punct', 'head': 'increases'}, {'text': 'chaos', 'pos': 'NOUN', 'dep': 'nsubj', 'head': 'increases'}, {'text': 'increases', 'pos': 'VERB', 'dep': 'ROOT', 'head': 'increases'}, {'text': 'efficiency', 'pos': 'NOUN', 'dep': 'dobj', 'head': 'increases'}, {'text': 'by', 'pos': 'ADP', 'dep': 'prep', 'head': 'increases'}, {'text': '0', 'pos': 'NUM', 'dep': 'nummod', 'head': '%'}, {'text': '%', 'pos': 'NOUN', 'dep': 'pobj', 'head': 'by'}]","[{'text': 'airport', 'dep': 'nsubj', 'children': []}, {'text': 'installs', 'dep': 'ccomp', 'children': ['airport', 'line']}, {'text': 'faster', 'dep': 'amod', 'children': []}, {'text': 'security', 'dep': 'compound', 'children': []}, {'text': 'line', 'dep': 'dobj', 'children': ['faster', 'security']}, {'text': ';', 'dep': 'punct', 'children': []}, {'text': 'chaos', 'dep': 'nsubj', 'children': []}, {'text': 'increases', 'dep': 'ROOT', 'children': ['installs', ';', 'chaos', 'efficiency', 'by']}, {'text': 'efficiency', 'dep': 'dobj', 'children': []}, {'text': 'by', 'dep': 'prep', 'children': ['%']}, {'text': '0', 'dep': 'nummod', 'children': []}, {'text': '%', 'dep': 'pobj', 'children': ['0']}]",0.16666666666666666,0.5,12,1,0.5,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,4,2.2,0.9812102131545544,0.9970085921056769
1,new budgeting app available: teaches you how broke you already are,https://chatgpt.com/,"[{'text': 'new', 'pos': 'ADJ', 'dep': 'amod', 'head': 'app'}, {'text': 'budgeting', 'pos': 'VERB', 'dep': 'amod', 'head': 'app'}, {'text': 'app', 'pos': 'NOUN', 'dep': 'nsubj', 'head': 'teaches'}, {'text': 'available', 'pos': 'ADJ', 'dep': 'amod', 'head': 'app'}, {'text': ':', 'pos': 'PUNCT', 'dep': 'punct', 'head': 'app'}, {'text': 'teaches', 'pos': 'VERB', 'dep': 'ROOT', 'head': 'teaches'}, {'text': 'you', 'pos': 'PRON', 'dep': 'dobj', 'head': 'teaches'}, {'text': 'how', 'pos': 'SCONJ', 'dep': 'advmod', 'head': 'broke'}, {'text': 'broke', 'pos': 'VERB', 'dep': 'acomp', 'head': 'are'}, {'text': 'you', 'pos': 'PRON', 'dep': 'nsubj', 'head': 'are'}, {'text': 'already', 'pos': 'ADV', 'dep': 'advmod', 'head': 'are'}, {'text': 'are', 'pos': 'AUX', 'dep': 'ccomp', 'head': 'teaches'}]","[{'text': 'new', 'dep': 'amod', 'children': []}, {'text': 'budgeting', 'dep': 'amod', 'children': []}, {'text': 'app', 'dep': 'nsubj', 'children': ['new', 'budgeting', 'available', ':']}, {'text': 'available', 'dep': 'amod', 'children': []}, {'text': ':', 'dep': 'punct', 'children': []}, {'text': 'teaches', 'dep': 'ROOT', 'children': ['app', 'you', 'are']}, {'text': 'you', 'dep': 'dobj', 'children': []}, {'text': 'how', 'dep': 'advmod', 'children': []}, {'text': 'broke', 'dep': 'acomp', 'children': ['how']}, {'text': 'you', 'dep': 'nsubj', 'children': []}, {'text': 'already', 'dep': 'advmod', 'children': []}, {'text': 'are', 'dep': 'ccomp', 'children': ['broke', 'you', 'already']}]",0.25,0.6666666666666666,12,0,0.08333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.0,4,2.75,0.04357856512069702,0.8397151139831904
0,community murals transform urban landscape in creative project,https://chatgpt.com/,"[{'text': 'community', 'pos': 'NOUN', 'dep': 'compound', 'head': 'murals'}, {'text': 'murals', 'pos': 'NOUN', 'dep': 'nsubj', 'head': 'transform'}, {'text': 'transform', 'pos': 'VERB', 'dep': 'ROOT', 'head': 'transform'}, {'text': 'urban', 'pos': 'ADJ', 'dep': 'amod', 'head': 'landscape'}, {'text': 'landscape', 'pos': 'NOUN', 'dep': 'dobj', 'head': 'transform'}, {'text': 'in', 'pos': 'ADP', 'dep': 'prep', 'head': 'transform'}, {'text': 'creative', 'pos': 'ADJ', 'dep': 'amod', 'head': 'project'}, {'text': 'project', 'pos': 'NOUN', 'dep': 'pobj', 'head': 'in'}]","[{'text': 'community', 'dep': 'compound', 'children': []}, {'text': 'murals', 'dep': 'nsubj', 'children': ['community']}, {'text': 'transform', 'dep': 'ROOT', 'children': ['murals', 'landscape', 'in']}, {'text': 'urban', 'dep': 'amod', 'children': []}, {'text': 'landscape', 'dep': 'dobj', 'children': ['urban']}, {'text': 'in', 'dep': 'prep', 'children': ['project']}, {'text': 'creative', 'dep': 'amod', 'children': []}, {'text': 'project', 'dep': 'pobj', 'children': ['creative']}]",0.125,0.5,8,1,0.5,0.125,0.25,0.0,0.0,0.0,4,1.4,0.11720162630081177,0.8788340307747546
0,major retailer files for bankruptcy amid fierce competition,https://chatgpt.com/,"[{'text': 'major', 'pos': 'ADJ', 'dep': 'amod', 'head': 'files'}, {'text': 'retailer', 'pos': 'NOUN', 'dep': 'compound', 'head': 'files'}, {'text': 'files', 'pos': 'NOUN', 'dep': 'ROOT', 'head': 'files'}, {'text': 'for', 'pos': 'ADP', 'dep': 'prep', 'head': 'files'}, {'text': 'bankruptcy', 'pos': 'NOUN', 'dep': 'pobj', 'head': 'for'}, {'text': 'amid', 'pos': 'ADP', 'dep': 'prep', 'head': 'files'}, {'text': 'fierce', 'pos': 'ADJ', 'dep': 'amod', 'head': 'competition'}, {'text': 'competition', 'pos': 'NOUN', 'dep': 'pobj', 'head': 'amid'}]","[{'text': 'major', 'dep': 'amod', 'children': []}, {'text': 'retailer', 'dep': 'compound', 'children': []}, {'text': 'files', 'dep': 'ROOT', 'children': ['major', 'retailer', 'for', 'amid']}, {'text': 'for', 'dep': 'prep', 'children': ['bankruptcy']}, {'text': 'bankruptcy', 'dep': 'pobj', 'children': []}, {'text': 'amid', 'dep': 'prep', 'children': ['competition']}, {'text': 'fierce', 'dep': 'amod', 'children': []}, {'text': 'competition', 'dep': 'pobj', 'children': ['fierce']}]",0.25,0.375,8,1,0.5,0.0,0.25,0.0,0.0,0.0,4,1.75,0.7003200352191925,0.9142242525294283
0,new hologram tech makes virtual meetings more realistic,https://chatgpt.com/,"[{'text': 'new', 'pos': 'ADJ', 'dep': 'amod', 'head': 'tech'}, {'text': 'hologram', 'pos': 'NOUN', 'dep': 'compound', 'head': 'tech'}, {'text': 'tech', 'pos': 'NOUN', 'dep': 'nsubj', 'head': 'makes'}, {'text': 'makes', 'pos': 'VERB', 'dep': 'ROOT', 'head': 'makes'}, {'text': 'virtual', 'pos': 'ADJ', 'dep': 'amod', 'head': 'meetings'}, {'text': 'meetings', 'pos': 'NOUN', 'dep': 'nsubj', 'head': 'realistic'}, {'text': 'more', 'pos': 'ADV', 'dep': 'advmod', 'head': 'realistic'}, {'text': 'realistic', 'pos': 'ADJ', 'dep': 'ccomp', 'head': 'makes'}]","[{'text': 'new', 'dep': 'amod', 'children': []}, {'text': 'hologram', 'dep': 'compound', 'children': []}, {'text': 'tech', 'dep': 'nsubj', 'children': ['new', 'hologram']}, {'text': 'makes', 'dep': 'ROOT', 'children': ['tech', 'realistic']}, {'text': 'virtual', 'dep': 'amod', 'children': []}, {'text': 'meetings', 'dep': 'nsubj', 'children': ['virtual']}, {'text': 'more', 'dep': 'advmod', 'children': []}, {'text': 'realistic', 'dep': 'ccomp', 'children': ['meetings', 'more']}]",0.0,0.5,8,1,0.375,0.125,0.375,0.125,0.0,0.0,4,1.75,0.7882486879825592,0.954041622255204
1,"breaking: area woman says she’s fine, actually not fine",https://chatgpt.com/,"[{'text': 'breaking', 'pos': 'VERB', 'dep': 'dep', 'head': 'says'}, {'text': ':', 'pos': 'PUNCT', 'dep': 'punct', 'head': 'breaking'}, {'text': 'area', 'pos': 'NOUN', 'dep': 'compound', 'head': 'woman'}, {'text': 'woman', 'pos': 'NOUN', 'dep': 'nsubj', 'head': 'says'}, {'text': 'says', 'pos': 'VERB', 'dep': 'ROOT', 'head': 'says'}, {'text': 'she', 'pos': 'PRON', 'dep': 'nsubj', 'head': '’s'}, {'text': '’s', 'pos': 'VERB', 'dep': 'ccomp', 'head': 'says'}, {'text': 'fine', 'pos': 'ADJ', 'dep': 'acomp', 'head': '’s'}, {'text': ',', 'pos': 'PUNCT', 'dep': 'punct', 'head': '’s'}, {'text': 'actually', 'pos': 'ADV', 'dep': 'advmod', 'head': 'fine'}, {'text': 'not', 'pos': 'PART', 'dep': 'neg', 'head': 'fine'}, {'text': 'fine', 'pos': 'ADJ', 'dep': 'advcl', 'head': 'says'}]","[{'text': 'breaking', 'dep': 'dep', 'children': [':']}, {'text': ':', 'dep': 'punct', 'children': []}, {'text': 'area', 'dep': 'compound', 'children': []}, {'text': 'woman', 'dep': 'nsubj', 'children': ['area']}, {'text': 'says', 'dep': 'ROOT', 'children': ['breaking', 'woman', '’s', 'fine']}, {'text': 'she', 'dep': 'nsubj', 'children': []}, {'text': '’s', 'dep': 'ccomp', 'children': ['she', 'fine', ',']}, {'text': 'fine', 'dep': 'acomp', 'children': []}, {'text': ',', 'dep': 'punct', 'children': []}, {'text': 'actually', 'dep': 'advmod', 'children': []}, {'text': 'not', 'dep': 'neg', 'children': []}, {'text': 'fine', 'dep': 'advcl', 'children': ['actually', 'not']}]",0.25,0.5833333333333334,12,1,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,3,2.2,0.7066440880298615,0.9424582601899285
